Date,compound,neg,neu,pos,Close,Y-ENN
24-Jul-15,-0.8268,0.102,0.813,0.085,227.92,113.76739560052067
27-Jul-15,-0.9826,0.13,0.8029999999999999,0.067,224.08,114.13942100797975
28-Jul-15,-0.941,0.12,0.802,0.078,225.0,113.9396384383535
29-Jul-15,-0.975,0.142,0.774,0.084,231.4,113.94154548275336
30-Jul-15,-0.9897,0.17,0.745,0.085,235.53,114.04660932248967
31-Jul-15,-0.9897,0.149,0.779,0.071,233.33,114.15838589261482
3-Aug-15,-0.9883,0.168,0.7490000000000001,0.083,233.93,114.06762440418044
4-Aug-15,-0.9806,0.149,0.764,0.087,234.32,113.92656223978597
5-Aug-15,-0.9763,0.184,0.6970000000000001,0.11800000000000001,233.0,113.60648858545123
6-Aug-15,-0.995,0.161,0.7709999999999999,0.068,230.2,114.25279573207985
7-Aug-15,-0.9797,0.134,0.775,0.091,228.55,113.7974514632777
10-Aug-15,-0.9968,0.215,0.7170000000000001,0.068,227.83,114.46519157133369
11-Aug-15,-0.9964,0.214,0.6890000000000001,0.098,225.93,114.04481952981031
12-Aug-15,-0.9729,0.14,0.784,0.076,225.26,114.05256373121735
13-Aug-15,-0.9929,0.17300000000000001,0.738,0.08800000000000001,222.56,114.01211634748626
17-Aug-15,-0.9801,0.157,0.754,0.09,219.23,113.91988603949291
18-Aug-15,-0.9956,0.19399999999999998,0.7340000000000001,0.07200000000000001,218.27,114.3297922398169
19-Aug-15,-0.9865,0.161,0.7559999999999999,0.083,219.05,114.03784184750631
20-Aug-15,-0.9828,0.158,0.742,0.099,217.46,113.78112001870662
21-Aug-15,-0.9918,0.14300000000000002,0.8170000000000001,0.039,211.51,114.57850490501757
24-Aug-15,-0.9906,0.19699999999999998,0.696,0.10800000000000001,208.99,113.82402590061693
25-Aug-15,-0.9705,0.12300000000000001,0.797,0.081,211.69,113.9049159265321
26-Aug-15,-0.9942,0.17800000000000002,0.768,0.054000000000000006,207.08,114.51318160010439
27-Aug-15,-0.9948,0.174,0.7440000000000001,0.081,207.52,114.11834152897966
28-Aug-15,-0.9926,0.16899999999999998,0.78,0.051,212.29,114.51943322081577
31-Aug-15,0.9402,0.098,0.767,0.135,222.85,113.11967535904283
1-Sep-15,-0.9966,0.207,0.732,0.061,218.91,114.52858778215418
2-Sep-15,-0.9949,0.162,0.795,0.043,213.03,114.59888796195533
3-Sep-15,-0.9899,0.14800000000000002,0.8190000000000001,0.033,214.0,114.67923134006483
4-Sep-15,-0.991,0.156,0.767,0.077,213.15,114.10338567613256
7-Sep-15,-0.9839,0.16399999999999998,0.742,0.094,210.02,113.88728188680219
8-Sep-15,-0.9921,0.142,0.8079999999999999,0.05,214.8,114.4277775587586
9-Sep-15,-0.9867,0.17300000000000001,0.7509999999999999,0.076,215.14,114.1903042130196
10-Sep-15,-0.9623,0.10400000000000001,0.8290000000000001,0.066,220.02,114.04162027767957
11-Sep-15,-0.9757,0.141,0.778,0.081,216.44,113.98201734275224
14-Sep-15,-0.9803,0.132,0.81,0.057999999999999996,212.9,114.27790614194726
15-Sep-15,-0.9408,0.12,0.79,0.09,211.94,113.75437914710338
16-Sep-15,-0.9778,0.146,0.784,0.07,211.47,114.165180324848
17-Sep-15,-0.975,0.115,0.825,0.06,208.16,114.17840711172633
18-Sep-15,-0.9974,0.21600000000000003,0.743,0.040999999999999995,202.62,114.81762253498832
21-Sep-15,-0.9939,0.191,0.7290000000000001,0.081,207.36,114.194239583736
22-Sep-15,-0.9719,0.127,0.8,0.073,205.27,114.04018061554295
23-Sep-15,-0.9885,0.158,0.768,0.075,204.71,114.14401774220548
28-Sep-15,-0.9636,0.147,0.758,0.095,204.65,113.79849693137746
29-Sep-15,-0.9913,0.152,0.787,0.061,199.99,114.31542638083585
30-Sep-15,-0.9731,0.134,0.775,0.091,197.68,113.798613919979
1-Oct-15,-0.9968,0.162,0.785,0.053,197.87,114.46441457748828
2-Oct-15,-0.9779,0.163,0.72,0.11699999999999999,198.27,113.52520587327581
5-Oct-15,-0.9633,0.125,0.8109999999999999,0.064,198.01,114.16564274230754
6-Oct-15,-0.9773,0.138,0.768,0.094,203.25,113.7699560322695
